customer_id,revenue,customer_segment
C0001,120,Retail
C0002,135,Retail
C0003,150,Retail
C0004,165,Retail
C0005,180,Retail
C0006,195,Retail
C0007,210,Retail
C0008,225,Retail
C0009,240,Retail
C0010,255,Retail
C0011,270,Retail
C0012,285,Retail
C0013,300,Retail
C0014,315,Retail
C0015,330,Retail
C0016,345,Retail
C0017,360,Retail
C0018,375,Retail
C0019,390,Retail
C0020,405,Retail
C0021,420,Retail
C0022,435,Retail
C0023,450,Retail
C0024,465,Retail
C0025,480,Retail
C0026,500,Retail
C0027,520,Retail
C0028,540,Retail
C0029,560,Retail
C0030,580,Retail
C0031,600,Retail
C0032,620,Retail
C0033,640,Retail
C0034,660,Retail
C0035,680,Retail
C0036,700,Retail
C0037,725,Retail
C0038,750,Retail
C0039,775,Retail
C0040,800,Retail
C0041,825,Retail
C0042,850,Retail
C0043,875,Retail
C0044,900,Retail
C0045,925,Retail
C0046,950,Retail
C0047,975,Retail
C0048,1000,Retail
C0049,1050,Retail
C0050,1100,Retail
C0051,1150,SMB
C0052,1200,SMB
C0053,1250,SMB
C0054,1300,SMB
C0055,1350,SMB
C0056,1400,SMB
C0057,1450,SMB
C0058,1500,SMB
C0059,1550,SMB
C0060,1600,SMB
C0061,1650,SMB
C0062,1700,SMB
C0063,1750,SMB
C0064,1800,SMB
C0065,1850,SMB
C0066,1900,SMB
C0067,1950,SMB
C0068,2000,SMB
C0069,2100,SMB
C0070,2200,SMB
C0071,2300,SMB
C0072,2400,SMB
C0073,2500,SMB
C0074,2600,SMB
C0075,2750,SMB
C0076,2900,SMB
C0077,3050,SMB
C0078,3200,SMB
C0079,3400,SMB
C0080,3600,SMB
C0081,3800,Enterprise
C0082,4000,Enterprise
C0083,4250,Enterprise
C0084,4500,Enterprise
C0085,4750,Enterprise
C0086,5000,Enterprise
C0087,5250,Enterprise
C0088,5500,Enterprise
C0089,5750,Enterprise
C0090,6000,Enterprise
C0091,6500,Enterprise
C0092,7000,Enterprise
C0093,7500,Enterprise
C0094,8000,Enterprise
C0095,8500,Enterprise
C0096,9000,Enterprise
C0097,10000,Enterprise
C0098,12000,Enterprise
C0099,15000,Enterprise
C0100,20000,Enterprise
C0101,25000,Enterprise
C0102,30000,Enterprise
C0103,40000,Enterprise
C0104,50000,Enterprise
C0105,65000,Enterprise
C0106,80000,Enterprise
C0107,100000,Enterprise
C0108,125000,Enterprise
C0109,150000,Enterprise
C0110,200000,Enterprise
C0111,250000,Enterprise
C0112,300000,Enterprise
C0113,400000,Enterprise
C0114,500000,Enterprise
C0115,650000,Enterprise
C0116,800000,Enterprise
C0117,1000000,Enterprise
C0118,1500000,Enterprise
C0119,2000000,Enterprise
C0120,3000000,Enterprise
